sr no,lat,lon
1,28.58438,77.23721
2,28.58438,77.23721
3,28.58438,77.23721
4,28.58433,77.2374
5,28.58433,77.2374
6,28.58433,77.2374
7,28.6237,77.2026
8,28.6237,77.2026
9,28.6237,77.2026
10,28.63173,77.20081
11,28.63173,77.20081
12,28.63173,77.20081
13,28.6237,77.2026
14,28.62494,77.20522
15,28.62494,77.20522
16,28.62494,77.20522
17,28.62473,77.20447
18,28.62473,77.20447
19,28.62473,77.20447
20,28.62189,77.20086
21,28.62189,77.20086
22,28.62189,77.20086
23,28.62466,77.1952
24,28.62466,77.1952
25,28.62466,77.1952
26,28.5675,77.21
27,28.5675,77.21
28,28.5675,77.21
29,28.57528,77.07889
30,28.57528,77.07889
31,28.57528,77.07889
32,28.55698,77.17275
33,28.55698,77.17275
34,28.55698,77.17275
35,28.56573,77.21288
36,28.56573,77.21288
37,28.56573,77.21288
38,28.58386,77.2242
39,28.58386,77.2242
40,28.58386,77.2242
41,28.58919,77.21841
42,28.58919,77.21841
43,28.58919,77.21841
44,28.5915,77.2099
45,28.5915,77.2099
46,28.5915,77.2099
47,28.5915,77.2099
48,28.5915,77.2099
49,28.5915,77.2099
50,28.58283,77.22754
51,28.58283,77.22754
52,28.58283,77.22754
53,28.58414,77.19025
54,28.58414,77.19025
55,28.58414,77.19025
56,28.58121,77.18476
57,28.58121,77.18476
58,28.58121,77.18476
59,28.63172,77.20825
60,28.63172,77.20825
61,28.63172,77.20825
62,28.6431,77.20117
63,28.6431,77.20117
64,28.6431,77.20117
65,28.59096,77.19795
66,28.59096,77.19795
67,28.59096,77.19795
68,28.60878,77.2299
69,28.60878,77.2299
70,28.60878,77.2299
71,28.60565,77.23914
72,28.60565,77.23914
73,28.60565,77.23914
74,28.60439,77.20156
75,28.60439,77.20156
76,28.60439,77.20156
77,28.61498,77.2411
78,28.61498,77.2411
79,28.61498,77.2411
80,28.62272,77.21178
81,28.62272,77.21178
82,28.62272,77.21178
83,28.62722,77.22386
84,28.62722,77.22386
85,28.62722,77.22386
86,28.6295,77.2332
87,28.6295,77.2332
88,28.6295,77.2332
89,28.63568,77.21322
90,28.63568,77.21322
91,28.63568,77.21322
92,28.57675,77.18865
93,28.57675,77.18865
94,28.57675,77.18865
95,28.6258,77.2014
96,28.6258,77.2014
97,28.6258,77.2014
98,28.63022,77.22561
99,28.63022,77.22561
100,28.63022,77.22561
101,28.63306,77.21652
102,28.63306,77.21652
103,28.63306,77.21652
104,28.57608,77.19689
105,28.57608,77.19689
106,28.57608,77.19689
107,28.62165,77.21996
108,28.62165,77.21996
109,28.62165,77.21996
110,28.57048,77.19699
111,28.57048,77.19699
112,28.57048,77.19699
113,28.62408,77.23184
114,28.62408,77.23184
115,28.62408,77.23184
116,28.608,77.23592
117,28.608,77.23592
118,28.608,77.23592
119,28.61688,77.21586
120,28.63292,77.22406
121,28.63292,77.22406
122,28.63292,77.22406
123,28.634,77.2203
124,28.634,77.2203
125,28.634,77.2203
126,28.60067,77.22628
127,28.60067,77.22628
128,28.60067,77.22628
129,28.60514,77.18656
130,28.60514,77.18656
131,28.60514,77.18656
132,28.6009,77.2164
133,28.6009,77.2164
134,28.6009,77.2164
135,28.61688,77.21586
136,28.6251,77.2192
137,28.6251,77.2192
138,28.6251,77.2192
139,28.6217,77.21964
140,28.6217,77.21964
141,28.6217,77.21964
142,28.6092,77.2276
143,28.6092,77.2276
144,28.6092,77.2276
145,28.59708,77.19578
146,28.59708,77.19578
147,28.59708,77.19578
148,28.59675,77.19679
149,28.56133,77.26686
150,28.56133,77.26686
151,28.56133,77.26686
152,28.57794,77.26028
153,28.57794,77.26028
154,28.57794,77.26028
155,28.6208,77.2148
156,28.6208,77.2148
157,28.6208,77.2148
158,28.54381,77.27475
159,28.54381,77.27475
160,28.54381,77.27475
161,28.56562,77.18102
162,28.56562,77.18102
163,28.56562,77.18102
164,28.55675,77.27556
165,28.55675,77.27556
166,28.55675,77.27556
167,28.57216,77.24527
168,28.57216,77.24527
169,28.57216,77.24527
170,28.60631,77.2242
171,28.60631,77.2242
172,28.60631,77.2242
173,28.62575,77.22068
174,28.5727,77.257
175,28.5727,77.257
176,28.5727,77.257
177,28.5696,77.22372
178,28.5696,77.22372
179,28.5696,77.22372
180,28.61077,77.22178
181,28.61077,77.22178
182,28.61077,77.22178
183,28.5817,77.2513
184,28.5817,77.2513
185,28.5817,77.2513
186,28.61156,77.21282
187,28.61156,77.21282
188,28.61156,77.21282
189,28.6165,77.21561
190,28.6165,77.21561
191,28.6165,77.21561
192,28.6165,77.2156
193,28.61494,77.22328
194,28.61636,77.23075
195,28.61636,77.23075
196,28.61636,77.23075
197,28.6165,77.21561
198,28.62508,77.21922
199,28.55964,77.15717
200,28.55964,77.15717
201,28.55964,77.15717
202,28.56731,77.18764
203,28.56731,77.18764
204,28.56731,77.18764
205,28.6113,77.21562
206,28.6113,77.21562
207,28.6113,77.21562
208,28.60623,77.20736
209,28.5704,77.216
210,28.5704,77.216
211,28.5704,77.216
212,28.58271,77.18086
213,28.58271,77.18086
214,28.58271,77.18086
215,28.59839,77.20771
216,28.59839,77.20771
217,28.59839,77.20771
218,28.61899,77.2104
219,28.61899,77.2104
220,28.61899,77.2104
221,28.54258,77.129
222,28.54258,77.129
223,28.54258,77.129
224,28.5235,77.15908
225,28.5235,77.15908
226,28.5235,77.15908
227,28.54667,77.12608
228,28.54667,77.12608
229,28.54667,77.12608
230,28.54519,77.20136
231,28.54519,77.20136
232,28.54519,77.20136
233,28.56954,77.20152
234,28.56954,77.20152
235,28.56954,77.20152
236,28.6133,77.2051
237,28.6133,77.2051
238,28.6133,77.2051
239,28.5368,77.2803
240,28.5368,77.2803
241,28.5368,77.2803
242,28.62244,77.22017
243,28.62244,77.22017
244,28.62244,77.22017
245,28.59089,77.23536
246,28.59089,77.23536
247,28.59089,77.23536
248,28.5306,77.2794
249,28.5306,77.2794
250,28.5306,77.2794
251,28.58483,77.24792
252,28.58483,77.24792
253,28.58483,77.24792
254,28.61531,77.20564
255,28.61531,77.20564
256,28.61531,77.20564
257,28.62024,77.20811
258,28.62024,77.20811
259,28.62024,77.20811
260,28.62298,77.22024
261,28.62178,77.21221
262,28.6218,77.2122
263,28.54017,77.11792
264,28.54017,77.11792
265,28.54017,77.11792
266,28.56962,77.26747
267,28.56962,77.26747
268,28.56962,77.26747
269,28.63834,77.2192
270,28.63834,77.2192
271,28.63834,77.2192
272,28.63652,77.21746
273,28.63652,77.21746
274,28.63652,77.21746
275,28.61884,77.21809
276,28.53772,77.21251
277,28.53772,77.21251
278,28.53772,77.21251
279,28.55035,77.1293
280,28.55035,77.1293
281,28.55035,77.1293
282,28.55639,77.2869
283,28.55639,77.2869
284,28.55639,77.2869
285,28.53286,77.20361
286,28.53286,77.20361
287,28.53286,77.20361
288,28.52386,77.2838
289,28.52386,77.2838
290,28.52386,77.2838
291,28.52343,77.20708
292,28.52343,77.20708
293,28.52343,77.20708
294,28.56942,77.17685
295,28.56942,77.17685
296,28.56942,77.17685
297,28.5183,77.2015
298,28.5183,77.2015
299,28.5183,77.2015
300,28.5535,77.1573
301,28.5535,77.1573
302,28.5535,77.1573
303,28.60783,77.19855
304,28.60783,77.19855
305,28.60783,77.19855
306,28.54373,77.16244
307,28.54373,77.16244
308,28.54373,77.16244
309,28.57776,77.17457
310,28.57776,77.17457
311,28.57776,77.17457
312,28.55047,77.25572
313,28.55047,77.25572
314,28.55047,77.25572
315,28.61605,77.21133
316,28.61605,77.21133
317,28.61605,77.21133
318,28.53712,77.20825
319,28.53712,77.20825
320,28.53712,77.20825
321,28.54667,77.17119
322,28.54667,77.17119
323,28.54667,77.17119
324,28.54593,77.16685
325,28.54593,77.16685
326,28.54593,77.16685
327,28.51278,77.24288
328,28.51278,77.24288
329,28.51278,77.24288
330,28.53414,77.15272
331,28.53414,77.15272
332,28.53414,77.15272
333,28.5497,77.2673
334,28.5497,77.2673
335,28.5497,77.2673
336,28.5125,77.2366
337,28.5125,77.2366
338,28.5125,77.2366
339,28.56462,77.1709
340,28.56462,77.1709
341,28.56462,77.1709
342,28.54844,77.27111
343,28.54844,77.27111
344,28.54844,77.27111
345,28.54456,77.25888
346,28.54456,77.25888
347,28.54456,77.25888
348,28.55589,77.24092
349,28.55589,77.24092
350,28.55589,77.24092
351,28.51222,77.23081
352,28.51222,77.23081
353,28.51222,77.23081
354,28.55985,77.24915
355,28.55985,77.24915
356,28.55985,77.24915
357,28.5058,77.2333
358,28.5058,77.2333
359,28.5058,77.2333
360,28.5229,77.1674
361,28.5229,77.1674
362,28.5229,77.1674
363,28.50109,77.23397
364,28.50109,77.23397
365,28.50109,77.23397
366,28.53872,77.29938
367,28.53872,77.29938
368,28.53872,77.29938
369,28.53461,77.29439
370,28.53461,77.29439
371,28.53461,77.29439
372,28.5041,77.2394
373,28.5041,77.2394
374,28.5041,77.2394
375,28.58346,77.2188
376,28.58346,77.2188
377,28.58346,77.2188
378,28.61255,77.24724
379,28.61255,77.24724
380,28.61255,77.24724
381,28.5448,77.3021
382,28.5448,77.3021
383,28.5448,77.3021
384,28.4926,77.2378
385,28.4926,77.2378
386,28.4926,77.2378
387,28.65142,77.18364
388,28.65142,77.18364
389,28.65142,77.18364
390,28.64531,77.16925
391,28.64531,77.16925
392,28.64531,77.16925
393,28.49791,77.2485
394,28.49791,77.2485
395,28.49791,77.2485
396,28.49725,77.24149
397,28.49725,77.24149
398,28.49725,77.24149
399,28.5107,77.24984
400,28.5107,77.24984
401,28.5107,77.24984
402,28.51192,77.26631
403,28.51192,77.26631
404,28.51192,77.26631
405,28.545,77.3089
406,28.545,77.3089
407,28.545,77.3089
408,28.62809,77.1749
409,28.62809,77.1749
410,28.62809,77.1749
411,28.4957,77.232
412,28.4957,77.232
413,28.4957,77.232
414,28.56278,77.05889
415,28.56278,77.05889
416,28.56278,77.05889
417,28.58414,77.07114
418,28.58414,77.07114
419,28.58414,77.07114
420,28.56609,77.07124
421,28.56609,77.07124
422,28.56609,77.07124
423,28.5043,77.2497
424,28.5043,77.2497
425,28.5043,77.2497
426,28.4936,77.245
427,28.4936,77.245
428,28.4936,77.245
429,28.56315,77.04681
430,28.56315,77.04681
431,28.56315,77.04681
432,28.57625,77.0703
433,28.57625,77.0703
434,28.57625,77.0703
435,28.58337,77.07744
436,28.58337,77.07744
437,28.58337,77.07744
438,28.53489,77.09
439,28.53489,77.09
440,28.53489,77.09
441,28.57586,77.21264
442,28.57586,77.21264
443,28.57586,77.21264
444,28.64557,77.22516
445,28.64557,77.22516
446,28.64557,77.22516
447,28.61919,77.16814
448,28.61919,77.16814
449,28.61919,77.16814
450,28.58951,77.08005
451,28.58951,77.08005
452,28.58951,77.08005
453,28.59677,77.08403
454,28.59677,77.08403
455,28.59677,77.08403
456,28.5943,77.0795
457,28.5943,77.0795
458,28.5943,77.0795
459,28.5915,77.0849
460,28.5915,77.0849
461,28.5915,77.0849
462,28.5535,77.0305
463,28.5535,77.0305
464,28.5535,77.0305
465,28.63434,77.23787
466,28.63434,77.23787
467,28.63434,77.23787
468,28.6355,77.2316
469,28.6355,77.2316
470,28.6355,77.2316
471,28.56484,77.26006
472,28.56484,77.26006
473,28.56484,77.26006
474,28.5217,77.21566
475,28.5217,77.21566
476,28.5217,77.21566
477,28.5196,77.2442
478,28.5196,77.2442
479,28.5196,77.2442
480,28.44731,77.02072
481,28.44731,77.02072
482,28.44731,77.02072
483,28.53173,77.05002
484,28.53173,77.05002
485,28.53173,77.05002
486,28.53292,77.05606
487,28.53292,77.05606
488,28.53292,77.05606
489,28.65043,77.22549
490,28.65043,77.22549
491,28.65043,77.22549
492,28.54108,77.27894
493,28.54108,77.27894
494,28.54108,77.27894
495,28.5288,77.1041
496,28.5288,77.1041
497,28.5288,77.1041
498,28.56877,77.27222
499,28.56877,77.27222
500,28.56877,77.27222
501,28.56711,77.28028
502,28.56711,77.28028
503,28.56711,77.28028
504,28.64333,77.17525
505,28.64333,77.17525
506,28.64333,77.17525
507,28.6465,77.16366
508,28.6465,77.16366
509,28.6465,77.16366
510,28.63687,77.18206
511,28.63687,77.18206
512,28.63687,77.18206
513,28.5437,77.2097
514,28.5437,77.2097
515,28.5437,77.2097
516,28.56485,77.06089
517,28.56485,77.06089
518,28.56485,77.06089
519,28.53521,77.27122
520,28.53521,77.27122
521,28.53521,77.27122
522,28.5174,77.1799
523,28.5174,77.1799
524,28.5174,77.1799
525,28.65039,77.15714
526,28.65039,77.15714
527,28.65039,77.15714
528,28.6494,77.15193
529,28.6494,77.15193
530,28.6494,77.15193
531,28.48964,77.13389
532,28.48964,77.13389
533,28.48964,77.13389
534,28.5139,77.1125
535,28.5139,77.1125
536,28.5139,77.1125
537,28.64128,77.24027
538,28.64128,77.24027
539,28.64128,77.24027
540,28.64904,77.21005
541,28.64904,77.21005
542,28.64904,77.21005
543,28.51367,77.2685
544,28.51367,77.2685
545,28.51367,77.2685
546,28.50827,77.22977
547,28.50827,77.22977
548,28.50827,77.22977
549,28.52306,77.26071
550,28.52306,77.26071
551,28.52306,77.26071
552,28.59514,77.13644
553,28.59514,77.13644
554,28.59514,77.13644
555,28.64106,77.22978
556,28.64106,77.22978
557,28.64106,77.22978
558,28.63131,77.22709
559,28.63131,77.22709
560,28.63131,77.22709
561,28.5572,77.25385
562,28.5572,77.25385
563,28.5572,77.25385
564,28.5267,77.2089
565,28.5267,77.2089
566,28.5267,77.2089
567,28.58022,77.0854
568,28.58022,77.0854
569,28.58022,77.0854
570,28.59869,77.2006
571,28.59869,77.2006
572,28.59869,77.2006
573,28.64072,77.14422
574,28.64072,77.14422
575,28.64072,77.14422
576,28.6341,77.1414
577,28.6341,77.1414
578,28.6341,77.1414
579,28.5419,77.2951
580,28.5419,77.2951
581,28.5419,77.2951
582,28.58368,77.08214
583,28.58368,77.08214
584,28.58368,77.08214
585,28.5795,77.077
586,28.5795,77.077
587,28.5795,77.077
588,28.58364,77.09017
589,28.58364,77.09017
590,28.58364,77.09017
591,28.58786,77.23956
592,28.58786,77.23956
593,28.58786,77.23956
594,28.64467,77.24111
595,28.64467,77.24111
596,28.64467,77.24111
597,28.64694,77.20278
598,28.64694,77.20278
